@RELATION api/public/arff/genre_classification.arff 

@ATTRIBUTE speechiness numeric 
@ATTRIBUTE acousticness numeric 
@ATTRIBUTE instrumentalness numeric 
@ATTRIBUTE liveness numeric 
@ATTRIBUTE valence numeric 
@ATTRIBUTE duration_ms numeric 
@ATTRIBUTE tempo numeric 
@ATTRIBUTE time_signature {0,1,2,3,4,5} 
@ATTRIBUTE mode {0,1} 
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11} 
@ATTRIBUTE loudness numeric 
@ATTRIBUTE danceability numeric 
@ATTRIBUTE energy numeric 
@ATTRIBUTE genre {1,2,3} 

@DATA 
0.0396, 0.149, 0.00000287, 0.0964, 0.684, 282693, 148.026, 4, 0, 5, -7.488, 0.621, 0.683, 3 
0.1, 0.0159, 0.0000207, 0.0749, 0.333, 292000, 83.822, 4, 0, 7, -10.084, 0.609, 0.598, 3 
0.0287, 0.148, 0.00000333, 0.105, 0.412, 245600, 98.076, 4, 1, 0, -11.718, 0.779, 0.459, 3 
0.0752, 0.0612, 0, 0.875, 0.569, 186533, 107.158, 4, 1, 2, -4.147, 0.734, 0.873, 3 
0.0444, 0.821, 0.0000174, 0.115, 0.191, 292400, 98.497, 4, 1, 6, -10.494, 0.583, 0.488, 3 
0.0721, 0.0224, 0.00032, 0.0381, 0.8, 233240, 78.739, 4, 1, 7, -9.833, 0.805, 0.622, 3 
0.0268, 0.797, 0.54, 0.0744, 0.347, 241528, 156.001, 4, 1, 0, -11.987, 0.534, 0.464, 3 
0.266, 0.106, 0, 0.185, 0.782, 245400, 92.245, 4, 0, 7, -2.862, 0.847, 0.598, 3 
0.0631, 0.0438, 0, 0.277, 0.683, 285000, 91.452, 4, 0, 11, -7.579, 0.744, 0.821, 3 
0.0333, 0.139, 0.000189, 0.0786, 0.491, 300507, 122, 4, 0, 3, -6.839, 0.71, 0.458, 3 
0.178, 0.00195, 0.000278, 0.124, 0.385, 270493, 87.97, 4, 1, 2, -8.992, 0.833, 0.431, 3 
0.0729, 0.317, 0, 0.0888, 0.87, 243627, 77.979, 4, 0, 10, -7.385, 0.796, 0.46, 3 
0.0431, 0.00185, 0.713, 0.037, 0.549, 603680, 119.875, 4, 1, 0, -12.279, 0.766, 0.734, 3 
0.11, 0.00238, 0, 0.0484, 0.65, 214133, 135.045, 4, 1, 8, -6.952, 0.846, 0.841, 3 
0.0246, 0.0751, 0.00000205, 0.0743, 0.256, 258933, 94.796, 4, 0, 0, -8.72, 0.644, 0.441, 3 
0.0317, 0.0881, 0.00000946, 0.344, 0.827, 244693, 116.999, 4, 0, 2, -10.223, 0.665, 0.716, 3 
0.0459, 0.00511, 0.00125, 0.172, 0.768, 245760, 109.033, 4, 1, 1, -5.262, 0.929, 0.811, 3 
0.0339, 0.0466, 0, 0.182, 0.574, 223413, 90.362, 4, 0, 2, -7.811, 0.629, 0.734, 3 
0.283, 0.00752, 0.0000457, 0.133, 0.698, 215667, 90.724, 4, 0, 6, -6.467, 0.717, 0.799, 3 
0.0818, 0.0776, 0, 0.33, 0.745, 240893, 160.927, 4, 0, 4, -9.194, 0.759, 0.632, 3 
0.289, 0.000452, 0.00000548, 0.0796, 0.441, 244733, 105.859, 4, 1, 7, -8.342, 0.812, 0.605, 3 
0.0595, 0.00875, 0.0000103, 0.0904, 0.538, 211533, 125.958, 4, 0, 4, -5.074, 0.69, 0.889, 3 
0.0321, 0.0126, 0.00423, 0.0945, 0.671, 253253, 92.917, 4, 0, 5, -4.473, 0.753, 0.838, 3 
0.0406, 0.00145, 0.259, 0.191, 0.782, 190840, 124.901, 4, 0, 6, -7.383, 0.824, 0.857, 3 
0.0301, 0.57, 0.00464, 0.189, 0.122, 325767, 165.297, 3, 1, 11, -10.92, 0.434, 0.397, 3 
0.0603, 0.105, 0.00000105, 0.0707, 0.55, 276800, 97.779, 4, 0, 10, -6.89, 0.767, 0.572, 3 
0.0866, 0.00104, 0, 0.318, 0.747, 295333, 91.076, 4, 0, 8, -7.308, 0.733, 0.61, 3 
0.94, 0.994, 0.673, 0.217, 0.559, 1746495, 74.292, 3, 1, 11, -8.521, 0.568, 0.633, 3 
0.073, 0.00607, 0.0000132, 0.121, 0.908, 257040, 93.745, 4, 0, 1, -11.183, 0.695, 0.662, 3 
0.0401, 0.064, 0.000513, 0.287, 0.843, 304960, 132.031, 4, 0, 11, -4.78, 0.798, 0.952, 3 
0.334, 0.207, 0, 0.328, 0.745, 280173, 87.984, 4, 0, 11, -9.673, 0.801, 0.806, 3 
0.0311, 0.559, 0, 0.0492, 0.309, 387573, 134.187, 4, 1, 1, -5.485, 0.738, 0.541, 3 
0.0307, 0.455, 0.0000215, 0.0604, 0.267, 351867, 84.594, 4, 1, 0, -12.424, 0.468, 0.419, 3 
0.0979, 0.151, 0, 0.153, 0.801, 249307, 83, 4, 0, 11, -6.901, 0.684, 0.676, 3 
0.178, 0.227, 0, 0.11, 0.623, 241867, 83.663, 4, 1, 1, -9.162, 0.798, 0.488, 3 
0.114, 0.0621, 0.0000024, 0.132, 0.614, 273307, 85.592, 4, 1, 6, -6.093, 0.835, 0.595, 3 
0.189, 0.0278, 0, 0.094, 0.736, 215600, 173.878, 4, 1, 7, -7.722, 0.741, 0.702, 3 
